,,,,TestCentral,,,
,,,,,,,
,,,,,,,
,,,,,,,
Regression Level,TestCase,Case Description,Result,Assigned To,CR/BR Reasons,Comments,
3,DSR SI&T.A/V Presentation.Audio:009-004,MPEG-1 at 48 kHz,D,"Cobbs, David (MGIA1180)",,These are obsolete test cases.,
3,DSR SI&T.A/V Presentation.Audio:010-001,PCM audio bit rates,D,"Cobbs, David (MGIA1180)",,These are obsolete test cases.,
5,DSR SI&T.A/V Presentation.Audio:010-002,PCM 5.1,D,"Cobbs, David (MGIA1180)",,These are obsolete test cases.,
3,DSR SI&T.A/V Presentation.Audio:011-001,Audio Mixing,D,"Cobbs, David (MGIA1180)",,SI&T is not aware of a feature implemented in the App that supports this requirement and it is therefore not testable.,
2,DSR SI&T.A/V Presentation.DVS:001-001,DVS Enable/Disable,F,"Cobbs, David (MGIA1180)","OKDSR8XX-355, Mingle 6614",Enabling DVS caused muted audio on multiple channels. Muting remained after subsequently disabling.,
3,DSR SI&T.A/V Presentation.DVS:001-002,DVS State after factory reset,P,"Cobbs, David (MGIA1180)",,,
3,DSR SI&T.A/V Presentation.DVS:001-003,"""enm"" ISO639 language code",F,"Cobbs, David (MGIA1180)","OKDSR8XX-355, Mingle 6614",English DVS is not functional.,
3,DSR SI&T.A/V Presentation.DVS:001-004,"""frm"" ISO639 language code",F,"Cobbs, David (MGIA1180)","OKDSR8XX-355, Mingle 6614",French audio coud not be correctly selected.,
3,DSR SI&T.A/V Presentation.DVS:001-005,No DVS audio stream found,F,"Cobbs, David (MGIA1180)","OKDSR8XX-355, Mingle 6614",Enabling DVS causes muted audio on multiple channels.,
3,DSR SI&T.A/V Presentation.DVS:001-006,DVS Disabled,F,"Cobbs, David (MGIA1180)","OKDSR8XX-355, Mingle 6614",Did not work correctly when French audio was selected.,
3,DSR SI&T.A/V Presentation.DVS:001-008,DVS Toggle Shortcut,F,"Cobbs, David (MGIA1180)","OKDSR8XX-355, Mingle 6614",Enabling DVS causes muted audio on multiple channels that remains after disabling.,
1,DSR SI&T.A/V Presentation.Video:001-001,Simultaneous video output,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Video:001-002,4:3 Stretch & Normal settings,P,"Purba, Josua (jpurba)",,,
4,DSR SI&T.A/V Presentation.Video:001-003,Change output resolution after Stretch.,,"Melucci, Nicholas (BPRF84)",,,
